Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L1M4S_lcc,,Y,,,,
MEM_shcoeffs_L1M5C_lcc,,Y,,,,
MEM_shcoeffs_L1M5S_lcc,,Y,,,,
MEM_shcoeffs_L1M6C_lcc,,Y,,,,
MEM_shcoeffs_L1M6S_lcc,,Y,,,,
MEM_shcoeffs_L1M7C_lcc,,Y,,,,
MEM_shcoeffs_L1M7S_lcc,,Y,,,,
MEM_shcoeffs_L1M8C_lcc,,Y,,,,
MEM_shcoeffs_L1M8S_lcc,,Y,,,,
MEM_shcoeffs_L1M9C_lcc,,Y,,,,
MEM_shcoeffs_L1M9S_lcc,,Y,,,,
MEM_shcoeffs_L2M0C_lcc,,Y,,,,
MEM_shcoeffs_L2M0S_lcc,,Y,,,,
MEM_shcoeffs_L2M10C_lcc,,Y,,,,
MEM_shcoeffs_L2M10S_lcc,,Y,,,,
MEM_shcoeffs_L2M11C_lcc,,Y,,,,
MEM_shcoeffs_L2M11S_lcc,,Y,,,,
MEM_shcoeffs_L2M12C_lcc,,Y,,,,
MEM_shcoeffs_L2M12S_lcc,,Y,,,,
MEM_shcoeffs_L2M13C_lcc,,Y,,,,
MEM_shcoeffs_L2M13S_lcc,,Y,,,,
MEM_shcoeffs_L2M14C_lcc,,Y,,,,
MEM_shcoeffs_L2M14S_lcc,,Y,,,,
MEM_shcoeffs_L2M15C_lcc,,Y,,,,
MEM_shcoeffs_L2M15S_lcc,,Y,,,,
MEM_shcoeffs_L2M16C_lcc,,Y,,,,
MEM_shcoeffs_L2M16S_lcc,,Y,,,,
MEM_shcoeffs_L2M1C_lcc,,Y,,,,
MEM_shcoeffs_L2M1S_lcc,,Y,,,,
MEM_shcoeffs_L2M2C_lcc,,Y,,,,
MEM_shcoeffs_L2M2S_lcc,,Y,,,,
MEM_shcoeffs_L2M3C_lcc,,Y,,,,
MEM_shcoeffs_L2M3S_lcc,,Y,,,,
MEM_shcoeffs_L2M4C_lcc,,Y,,,,
MEM_shcoeffs_L2M4S_lcc,,Y,,,,
MEM_shcoeffs_L2M5C_lcc,,Y,,,,
MEM_shcoeffs_L2M5S_lcc,,Y,,,,
MEM_shcoeffs_L2M6C_lcc,,Y,,,,
MEM_shcoeffs_L2M6S_lcc,,Y,,,,
MEM_shcoeffs_L2M7C_lcc,,Y,,,,
MEM_shcoeffs_L2M7S_lcc,,Y,,,,
MEM_shcoeffs_L2M8C_lcc,,Y,,,,
MEM_shcoeffs_L2M8S_lcc,,Y,,,,
MEM_shcoeffs_L2M9C_lcc,,Y,,,,
MEM_shcoeffs_L2M9S_lcc,,Y,,,,
MEM_shcoeffs_L3M0C_lcc,,Y,,,,
MEM_shcoeffs_L3M0S_lcc,,Y,,,,
MEM_shcoeffs_L3M10C_lcc,,Y,,,,
MEM_shcoeffs_L3M10S_lcc,,Y,,,,
MEM_shcoeffs_L3M11C_lcc,,Y,,,,
